group,team,confederation,fifa_rank_apr2026,wc_titles,best_finish,wc_appearances,is_host,is_debut,elo_rating_2026,squad_market_value_eur_millions,key_player,notes
A,Mexico,CONCACAF,15,0,Quarter-finals,17,Yes,No,1780,280,Santiago Gimenez,Opening match hosts; home advantage; Gimenez (AC Milan) leads
A,South Korea,AFC,25,0,Semi-finals,11,No,No,1800,430,Son Heung-min,Son's final WC; Kim Min-jae best CB at Bayern; dangerous
A,South Africa,CAF,60,0,Group stage,3,No,No,1600,120,Percy Tau,2010 hosts returning; Tau (Al Ahly) leads attack
A,Czechia,UEFA,41,0,Runner-up (1934/62),9,No,No,1740,280,Patrik Schick,Schick (Leverkusen); Souček engine; dark horse
B,Canada,CONCACAF,30,0,Group stage,3,Yes,No,1730,350,Alphonso Davies,Davies/David world-class; best Canada squad ever; hosts
B,Switzerland,UEFA,19,0,Quarter-finals,12,No,No,1820,390,Granit Xhaka,Consistent overachievers; knockout regulars since 2014
B,Qatar,AFC,53,0,Group stage,1,No,No,1580,110,Akram Afif,2022 hosts; back as qualifiers; Asia Cup holders
B,Bosnia-Herzegovina,UEFA,71,0,Group stage,1,No,No,1650,180,Edin Džeko,Stunned Italy in playoffs; Džeko leadership; upset potential
C,Brazil,CONMEBOL,6,5,Winner,22,No,No,2030,1100,Vinicius Jr,24-year WC drought; Vinicius/Rodrygo/Endrick attack; no Neymar
C,Morocco,CAF,8,0,Semi-finals,6,No,No,1860,420,Achraf Hakimi,2022 semi-finalists; Hakimi (PSG); En-Nesyri; strong defense
C,Scotland,UEFA,43,0,Group stage,8,No,No,1730,280,Andy Robertson,28-year wait; Robertson/McTominay; historic return
C,Haiti,CONCACAF,79,0,Group stage,1,No,No,1540,55,Frantzdy Pierrot,52-year wait; upset potential; group stage target
D,United States,CONCACAF,16,0,Third place,11,Yes,No,1820,710,Christian Pulisic,Pulisic/Weah/Reyna/McKennie; best USMNT ever; home crowd
D,Paraguay,CONMEBOL,38,0,Quarter-finals,9,No,No,1740,220,Miguel Almirón,Almirón key creator; defensive solidity; always competitive
D,Australia,AFC,27,0,Round of 16,6,No,No,1720,280,Mathew Ryan,Socceroos; Arnold coached; Irvine/Hrustic engine room
D,Türkiye,UEFA,22,0,Third place,3,No,No,1790,420,Hakan Çalhanoğlu,Çalhanoğlu (Inter) elite; Güler (Real Madrid) next big thing
E,Germany,UEFA,10,4,Winner,20,No,No,1960,1150,Jamal Musiala,Rebuilding but dangerous; Musiala/Wirtz generational duo
E,Curaçao,CONCACAF,81,0,First appearance,0,No,Yes,1480,35,Juriën Timber,Timber (Arsenal); smallest WC nation; historic debut
E,Ivory Coast,CAF,39,0,Group stage,3,No,No,1710,250,Sébastien Haller,Haller (Dortmund) after cancer; Zaha/Fofana; dangerous
