group,team,confederation,fifa_rank,elo_rating,group_avg_elo_excl_self,group_avg_fifa_rank_excl_self,group_max_elo_opponent,group_min_elo_opponent,elo_rank_in_group,difficulty_index,difficulty_label,expected_pts_group_stage,qualification_probability_pct,notes
A,Mexico,CONCACAF,15,1780,1640,42,1800,1600,1,0.62,Hard,5.1,68,Hosts but face Son's South Korea and Schick's Czechia
A,South Korea,AFC,25,1800,1640,39,1780,1600,1,0.65,Hard,4.8,64,Son vs Gimenez opener is tournament highlight
A,South Africa,CAF,60,1600,1770,27,1800,1740,4,0.38,Easy,3.2,34,Weakest team; hosts and South Korea strong
A,Czechia,UEFA,41,1740,1727,33,1800,1600,2,0.58,Medium,4.4,58,Schick dangerous enough; balanced group
B,Canada,CONCACAF,30,1730,1683,48,1820,1540,1,0.55,Medium,5.0,66,Hosts; Davies/David elite; Bosnia upset concern
B,Switzerland,UEFA,19,1820,1653,52,1730,1540,1,0.52,Medium,5.2,70,Experience tells; Xhaka leadership; should qualify
B,Qatar,AFC,53,1580,1733,23,1820,1650,4,0.33,Easy,2.8,28,Weakest group; must improve on 2022 home exit
B,Bosnia-Herzegovina,UEFA,71,1650,1777,23,1820,1580,3,0.41,Medium,3.6,38,Playoff mentality; can upset Qatar easily; Canada the aim
C,Brazil,CONMEBOL,6,2030,1710,52,1860,1540,1,0.72,Very Hard,5.8,78,Vinicius/Rodrygo; toughest group for any team to navigate
C,Morocco,CAF,8,1860,1767,29,2030,1540,2,0.68,Hard,5.2,72,2022 semi-finalists; must navigate Brazil + Scotland
C,Scotland,UEFA,43,1730,1810,14,2030,1540,3,0.44,Hard,3.8,40,Returning after 28 years; Brazil is a mountain
C,Haiti,CONCACAF,79,1540,1873,19,2030,1730,4,0.22,Very Hard,1.8,14,Toughest possible draw; survival is the aim
D,United States,CONCACAF,16,1820,1717,29,1790,1720,1,0.64,Hard,5.0,66,Hosts; Pulisic/Weah; face tough Turkey and Paraguay
D,Paraguay,CONMEBOL,38,1740,1777,22,1820,1720,3,0.52,Medium,4.2,52,Almirón quality; winnable group; R16 realistic
D,Australia,AFC,27,1720,1783,25,1820,1740,4,0.48,Medium,3.8,46,Socceroos competitive; Turkey and USA tough draws
D,Türkiye,UEFA,22,1790,1760,27,1820,1720,2,0.58,Hard,4.6,58,2002 magic possible; Çalhanoğlu/Güler; winnable
E,Germany,UEFA,10,1960,1643,48,1740,1480,1,0.74,Easy,6.8,88,Musiala/Wirtz; should dominate group barring collapse
E,Ecuador,CONMEBOL,23,1740,1717,42,1960,1480,2,0.52,Medium,4.4,56,Caicedo world-class; Germany tough but Ivory Coast beatable
E,Ivory Coast,CAF,39,1710,1727,40,1960,1480,3,0.46,Medium,3.8,46,Haller/Zaha; same old story — tough group again
E,Curaçao,CONCACAF,81,1480,1803,24,1960,1710,4,0.18,Very Hard,1.4,10,Historic just being here; Germany/Ecuador/IVC all superior
F,Netherlands,UEFA,7,1940,1737,47,1800,1640,1,0.70,Hard,5.6,74,Van Dijk leads; Japan and Sweden both dangerous though
F,Japan,AFC,18,1800,1793,41,1940,1640,2,0.58,Hard,4.8,62,Kubo/Mitoma elite; best group in tournament quality-wise
F,Sweden,UEFA,37,1800,1793,30,1940,1640,2,0.58,Hard,4.8,62,Isak/Kulusevski; could edge Japan; brutal group
F,Tunisia,CAF,47,1640,1847,21,1940,1800,4,0.28,Very Hard,2.2,18,Hannibal talented but Netherlands/Japan/Sweden brutal
G,Belgium,UEFA,9,1900,1760,49,1900,1570,1,0.66,Hard,5.4,72,De Bruyne elite; Egypt/Salah and Iran formidable
G,Egypt,CAF,33,1690,1843,36,1900,1570,3,0.46,Hard,3.8,44,Salah's last WC chance; Belgium is the mountain
G,Iran,AFC,21,1730,1820,40,1900,1570,2,0.52,Hard,4.2,52,Taremi/Ezatolahi solid; competitive group; R32 battle
G,New Zealand,OFC,88,1570,1773,40,1900,1690,4,0.24,Very Hard,1.8,12,Only OFC team; significant quality gap; fight for points
H,Spain,UEFA,2,1990,1717,48,1890,1540,1,0.76,Easy,6.6,86,Pedri/Yamal/Morata; should cruise but Uruguay dangerous
H,Uruguay,CONMEBOL,17,1890,1740,38,1990,1540,2,0.62,Hard,5.0,66,Valverde elite; 2 WC titles; can they upset Spain?
H,Saudi Arabia,AFC,58,1640,1807,23,1990,1540,3,0.36,Hard,2.8,28,2022 Argentina upset was lightning; lightning rarely strikes twice
H,Cape Verde,CAF,70,1540,1840,30,1990,1640,4,0.22,Very Hard,1.6,12,Historic debut; Spain and Uruguay brutal opponents
I,France,UEFA,1,1990,1733,33,1800,1620,1,0.76,Easy,6.6,86,Mbappé/Dembélé; strongest paper team; Iraq no threat
I,Norway,UEFA,32,1800,1797,29,1990,1620,2,0.56,Hard,4.6,60,Haaland's debut; France tough; Senegal beatable
I,Senegal,CAF,14,1780,1803,27,1990,1620,3,0.54,Hard,4.4,58,Mané's Africa Cup holders; Norway H2H fascinating
I,Iraq,AFC,56,1620,1857,15,1990,1780,4,0.28,Very Hard,1.8,14,40-year wait; France is world #1; tough welcome
J,Argentina,CONMEBOL,3,1980,1683,40,1770,1580,1,0.74,Easy,6.4,84,Messi's last WC; Algeria and Jordan no real threat
J,Algeria,CAF,36,1700,1777,27,1980,1580,3,0.46,Medium,3.6,42,Mahrez creative; Austria is the big rival here
J,Austria,UEFA,24,1770,1727,35,1980,1580,2,0.54,Medium,4.2,54,Sabitzer/Laimer; 28yr absence; must beat Algeria to progress
J,Jordan,AFC,64,1580,1817,29,1980,1700,4,0.26,Very Hard,1.6,12,First WC; Argentina/Austria/Algeria all superior
K,Portugal,UEFA,5,1940,1655,41,1870,1540,1,0.72,Medium,6.2,82,Félix/Fernandes/Leão; Colombia the only real test
K,Colombia,CONMEBOL,13,1870,1730,36,1940,1540,2,0.64,Hard,5.2,70,Díaz world-class; can they beat Portugal? Yes they can
