team,confederation,qualifying_zone,qualification_route,qualifying_gf,qualifying_ga,qualifying_gd,qualifying_pts,qualifying_played,qualifying_wins,qualifying_draws,qualifying_losses,qualifying_win_rate,qualifying_position,group_size,qualified_as,key_qualifier_result,notes
France,UEFA,UEFA Group E,Group Winner,40,12,28,46,10,15,1,0,0.938,1,10,Group Winner,6-0 vs Luxembourg; 5-0 vs Gibraltar,Dominant qualifying; Mbappé 12 goals in qualifying
Spain,UEFA,UEFA Group A,Group Winner,43,10,33,48,10,15,3,0,0.938,1,10,Group Winner,5-0 vs Cyprus x2; 7-1 vs Georgia,Yamal debut in qualifying; near perfect record
England,UEFA,UEFA Group C,Group Winner,35,9,26,45,10,14,3,1,0.825,1,10,Group Winner,5-1 vs North Macedonia,Bellingham 8 goals; squad depth shown
Germany,UEFA,UEFA Group D,Group Winner,38,16,22,42,10,13,3,2,0.763,1,10,Group Winner,4-1 vs Hungary,Musiala/Wirtz debuted together
Netherlands,UEFA,UEFA Group B,Group Winner,31,10,21,40,10,12,4,2,0.700,1,10,Group Winner,4-0 vs Ireland,Van Dijk marshalled defence; late qualification
Portugal,UEFA,UEFA Group J,Group Winner,32,11,21,40,10,12,4,2,0.700,1,10,Group Winner,3-0 vs Slovakia,Félix stepped up post-Ronaldo questions
Belgium,UEFA,UEFA Group F,Group Winner,30,12,18,38,10,11,5,2,0.625,1,10,Group Winner,3-1 vs Austria,De Bruyne return from injury; scrappy but qualified
Croatia,UEFA,UEFA Group G,Group Winner,19,12,7,32,10,9,5,4,0.500,1,10,Group Winner,2-0 vs Armenia,Modrić carried ageing squad; narrow margins
Norway,UEFA,UEFA Group H,Group Winner,38,14,24,42,10,13,3,2,0.763,1,10,Group Winner,5-1 vs Finland,Haaland 18 goals in 10 games; record-breaking
Sweden,UEFA,UEFA Playoff Path C,Playoff Winner,28,12,16,36,10,11,3,4,0.650,N/A,N/A,Playoff Winner,2-1 vs Czechia (playoff final),Isak 10 goals; beat Serbia and Czechia in playoffs
Austria,UEFA,UEFA Playoff Path A,Playoff Winner,26,12,14,34,10,10,4,4,0.583,N/A,N/A,Playoff Winner,1-0 vs Ukraine (playoff final),Rangnick system; beat Ukraine in dramatic final
Türkiye,UEFA,UEFA Playoff Path B,Playoff Winner,24,12,12,32,10,9,5,4,0.500,N/A,N/A,Playoff Winner,2-1 vs Wales (playoff final),Güler decisive; Çalhanoğlu organized midfield
Bosnia-Herzegovina,UEFA,UEFA Playoff Path D,Playoff Winner,20,12,8,24,10,7,3,8,0.350,N/A,N/A,Playoff Winner,1-0 vs Italy (playoff final AET),Stunned Italy; Džeko last WC qualifier; historic
Scotland,UEFA,UEFA Group I,Group Winner,24,12,12,28,10,8,4,6,0.400,1,10,Group Winner,2-0 vs Cyprus,McTominay key; beat Norway in decisive final game
Switzerland,UEFA,UEFA Group K,Group Winner,22,10,12,34,10,10,4,4,0.583,1,10,Group Winner,3-1 vs Romania,Xhaka leadership; efficient qualifying
Czechia,UEFA,UEFA Playoff Path C,Second place (lost final),22,10,12,30,10,9,3,6,0.500,N/A,N/A,Playoff Finalist,Lost 1-2 vs Sweden,Schick 8 goals; unlucky in playoff final vs Sweden
Brazil,CONMEBOL,CONMEBOL Decacampeon,Table Qualifier,28,15,13,36,18,10,6,2,0.556,3,10,Top 6,3-1 vs Bolivia; 2-0 vs Chile,Vinicius 8 goals; inconsistent without Neymar
