team,confederation,fifa_rank_apr2026,group,host_nation,wc_appearances_before_2026,best_wc_finish,wc_titles,is_debut,qualification_method,notes
France,UEFA,1,I,No,16,Winner,2,No,UEFA Qualifier,"2-time champion; Mbappé chasing all-time top scorer record"
Spain,UEFA,2,H,No,16,Winner,1,No,UEFA Qualifier,"Reigning Nations League holders; strong squad depth"
Argentina,CONMEBOL,3,J,No,18,Winner,3,No,CONMEBOL Qualifier,"Defending champions; Messi's final tournament"
England,UEFA,4,L,No,16,Winner,1,No,UEFA Qualifier,"1966 only title; strong generation with Bellingham/Saka"
Portugal,UEFA,5,K,No,8,Third place,0,No,UEFA Qualifier,"Ronaldo likely final WC; strong squad beyond him"
Brazil,CONMEBOL,6,C,No,22,Winner,5,No,CONMEBOL Qualifier,"Most WC titles; 22 consecutive appearances; no title since 2002"
Netherlands,UEFA,7,F,No,11,Runner-up,0,No,UEFA Qualifier,"3-time finalist; never won; strong Van Dijk led defense"
Morocco,CAF,8,C,No,6,Semi-finals,0,No,CAF Qualifier,"2022 semi-finalists; first African team to reach semis"
Belgium,UEFA,9,G,No,14,Third place,0,No,UEFA Qualifier,"Golden Generation aging but De Bruyne still elite"
Germany,UEFA,10,E,No,20,Winner,4,No,UEFA Qualifier,"4-time champion; rebuilding under Nagelsmann"
Croatia,UEFA,11,L,No,8,Runner-up,0,No,UEFA Qualifier,"2018 runners-up; 2022 third; Modrić final tournament"
Colombia,CONMEBOL,13,K,No,6,Quarter-finals,0,No,CONMEBOL Qualifier,"Strong qualifying campaign; James Rodríguez led"
Senegal,CAF,14,I,No,4,Quarter-finals,0,No,CAF Qualifier,"2002 QF; Mané and Diatta key threats"
Mexico,CONCACAF,15,A,Yes,17,Quarter-finals,0,No,Host,"Host nation; Azteca opens tournament June 11"
United States,CONCACAF,16,D,Yes,11,Third place,0,No,Host,"Host; best generation ever; Pulisic/Reyna/Weah"
Uruguay,CONMEBOL,17,H,No,14,Winner,2,No,CONMEBOL Qualifier,"2-time champion; always dangerous; Valverde key"
Japan,AFC,18,F,No,8,Round of 16,0,No,AFC Qualifier,"First to qualify; Kubo/Mitoma/Endo world-class midfield"
South Korea,AFC,25,A,No,11,Semi-finals,0,No,AFC Qualifier,"2002 hosts reached semis; Son Heung-min led attack"
Australia,AFC,27,D,No,6,Round of 16,0,No,AFC Qualifier,"2006 QF run; Hrustic/Irvine solid spine"
Canada,CONCACAF,30,B,Yes,3,Group stage,0,No,Host,"Host; 2022 first WC in 36 years; Davies/David star duo"
Iran,AFC,21,G,No,6,Group stage,0,No,AFC Qualifier,"6 WC appearances; Taremi leads attack"
Türkiye,UEFA,22,D,No,3,Third place,0,No,UEFA Playoff,"2002 third place; Çalhanoğlu/Güler key players"
Ecuador,CONMEBOL,23,E,No,4,Round of 16,0,No,CONMEBOL Qualifier,"2006 R16; Caicedo world-class midfielder"
Austria,UEFA,24,J,No,7,Third place,0,No,UEFA Qualifier,"1954 third; returning after 28-year absence; Alaba led"
Switzerland,UEFA,19,B,No,12,Quarter-finals,0,No,UEFA Qualifier,"Consistent performers; Xhaka/Shaqiri experience"
Saudi Arabia,AFC,58,H,No,6,Round of 16,0,No,AFC Qualifier,"1994 R16; 2022 upset Argentina; Al-Dawsari key"
Qatar,AFC,53,B,No,1,Group stage,0,No,AFC Qualifier,"Host in 2022; second WC; defending Asia title"
Uzbekistan,AFC,57,K,No,0,First appearance,0,Yes,AFC Qualifier,"First ever WC; strong AFC qualifying campaign"
Jordan,AFC,64,J,No,0,First appearance,0,Yes,AFC Qualifier,"First ever WC; inspired by 2023 Asian Cup runners-up finish"
Iraq,AFC,56,I,No,1,Group stage,0,No,Inter-conf Playoff,"1986 only appearance; qualified via playoff over Jamaica"
Algeria,CAF,36,J,No,4,Round of 16,0,No,CAF Qualifier,"2014 R16 under Halilhodzic; Aouar/Mahrez successor era"
Egypt,CAF,33,G,No,3,Group stage,0,No,CAF Qualifier,"1934/1990/2018; Salah possibly final WC"
Ghana,CAF,73,L,No,4,Quarter-finals,0,No,CAF Qualifier,"2010 QF on home continent; Black Stars rebuilding"
Morocco,CAF,8,C,No,6,Semi-finals,0,No,CAF Qualifier,"See above"
Senegal,CAF,14,I,No,4,Quarter-finals,0,No,CAF Qualifier,"See above"
Tunisia,CAF,47,F,No,6,Group stage,0,No,CAF Qualifier,"6 appearances; never past group stage; Hannibal Mejbri key"
South Africa,CAF,60,A,No,3,Group stage,0,No,CAF Qualifier,"2010 hosts; Cape Verde upset them in qualifying"
Ivory Coast,CAF,39,E,No,3,Group stage,0,No,CAF Qualifier,"2006/2010/2014; never past groups; Haller/Zaha attack"
Cape Verde,CAF,70,H,No,0,First appearance,0,Yes,CAF Qualifier,"Historic debut; upset Cameroon in qualifying"
DR Congo,CAF,55,K,No,1,Group stage,0,No,Inter-conf Playoff,"1974 as Zaire; beat Nigeria then Jamaica to qualify"
Norway,UEFA,32,I,No,3,Quarter-finals,0,No,UEFA Qualifier,"Last WC 1998; Haaland finally at a WC"
Bosnia-Herzegovina,UEFA,71,B,No,1,Group stage,0,No,UEFA Playoff,"2014 debut; stunned Italy on penalties in playoff"
Sweden,UEFA,37,F,No,12,Runner-up,0,No,UEFA Playoff,"1958 runners-up; strong Isak/Kulusevski attack"
Scotland,UEFA,43,C,No,8,Group stage,0,No,UEFA Qualifier,"Last WC 1998; 28-year wait ends; Robertson/McTominay"
Czechia,UEFA,41,A,No,9,Runner-up,0,No,UEFA Playoff,"As Czechoslovakia: 2 finals; modern era 1 group stage"
Paraguay,CONMEBOL,38,D,No,9,Quarter-finals,0,No,CONMEBOL Qualifier,"2010 QF; Almiron leads; defensive solid"
New Zealand,OFC,88,G,No,2,Group stage,0,No,OFC Qualifier,"1982/2010; only OFC team; Wood/Waine attack"
Panama,CONCACAF,51,L,No,1,Group stage,0,No,CONCACAF Qualifier,"2018 debut; physical team"
Curaçao,CONCACAF,81,E,No,0,First appearance,0,Yes,CONCACAF Qualifier,"Smallest nation by population (156k) ever at WC"
Haiti,CONCACAF,79,C,No,1,Group stage,0,No,CONCACAF Qualifier,"1974 only appearance; 52-year wait over"
